T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2023-2024,,,,,,,
,,,,,,,
YEAR,REGION,COUNTY NAME,DISTRICT,DISTRICT NAME,CHARTER STATUS,GRADE,ENROLLMENT
2023-2024,4,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,Grade 1,88
2023-2024,4,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,Grade 2,100
2023-2024,4,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,Grade 3,95
2023-2024,4,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,Grade 4,77
2023-2024,4,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,Grade 5,79
2023-2024,4,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,Grade 6,73
2023-2024,4,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,Grade 7,76
2023-2024,4,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,Grade 8,61
2023-2024,10,DALLAS COUNTY,57810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Pre-kindergarten,76
2023-2024,10,DALLAS COUNTY,57810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Kindergarten,36
2023-2024,10,DALLAS COUNTY,57810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Grade 1,36
2023-2024,10,DALLAS COUNTY,57810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Grade 2,22
2023-2024,10,DALLAS COUNTY,57810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Grade 3,25
2023-2024,10,DALLAS COUNTY,57810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Grade 4,26
2023-2024,10,DALLAS COUNTY,57810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Grade 5,20
2023-2024,10,DALLAS COUNTY,57810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Grade 6,44
2023-2024,10,DALLAS COUNTY,57810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Grade 7,36
2023-2024,10,DALLAS COUNTY,57810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Grade 8,33
2023-2024,11,TARRANT COUNTY,220821,ACADEMY OF VISUAL AND PERFORMING ARTS,OPEN ENROLLMENT CHARTER,Grade 6,66
2023-2024,11,TARRANT COUNTY,220821,ACADEMY OF VISUAL AND PERFORMING ARTS,OPEN ENROLLMENT CHARTER,Grade 7,39
2023-2024,4,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Pre-kindergarten,44
2023-2024,4,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Kindergarten,20
2023-2024,4,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 1,<10
2023-2024,4,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 2,17
2023-2024,4,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 3,19
2023-2024,4,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 4,23
2023-2024,4,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 5,17
2023-2024,4,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 6,16
2023-2024,4,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 7,17
2023-2024,4,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 8,<20
2023-2024,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,<10
2023-2024,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Kindergarten,<10
2023-2024,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Grade 1,<10
2023-2024,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Grade 2,<10
2023-2024,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Grade 3,<10
